sku,title,description,key_features,color,material,assembly_required,dimensions,weight,brand,category,status
BM349936,Benjara Power Reclining Chair in Black Leather Aire with LED Lights and USB Ports,"Upgrade your living space with the Benjara power reclining chair, featuring a durable wood and iron framework upholstered in ultra-soft black leather aire. This modern contemporary chair is equipped with a power recline mechanism, adjustable power headrest, and high-density foam cushions with pocket coil springs for exceptional comfort. Designed for convenience and modern living, it includes built-in USB-A and USB-C ports, ambient blue LED lighting, dual stainless steel cup holders, and hidden arm storage compartments.","Includes one power reclining chair featuring a power headrest, LED lights, USB and USB-C ports, storage, and cup holders. | Constructed with a premium quality wood and rust-resistant iron inner framework along with resilient pocket coil springs. | Upholstered in ultra-soft black leather aire with decorative quilted detailing and overstuffed pillow top armrests. | Offers functional convenience with built-in storage on each arm, two stainless steel cup holders, and a one-touch power control. | Features ambient blue LED lighting under the seat and armrests for added elegance.",Black,"Wood, Iron, Pocket Coil Springs, Leather Aire, Foam, LED",Yes,41L x 37W x 41H inches,118 lbs,Benjara,Power Reclining Chair,ok
BM349937,Benjara Power Reclining Chair in Ice Gray with LED Lights and USB Ports,"Experience ultimate comfort and modern convenience with the Benjara power reclining chair, upholstered in ultra-soft ice gray leather aire with decorative quilted detailing. This tech-smart seating solution features a power recline mechanism, adjustable power headrest, ambient blue LED lighting, and built-in USB-A and USB-C ports on the left-facing arm. Designed with a durable wood and rust-resistant iron framework, it also includes convenient arm storage and two stainless steel cup holders.","Constructed with a premium quality wood and rust-resistant iron inner framework for lasting durability. | Features a one-touch power control for adjustable reclining positions and an adjustable headrest. | Equipped with ambient blue LED lighting, convenient arm storage, and two stainless steel cup holders. | Includes built-in USB-A and USB-C ports on the left-facing arm for powering your devices. | Upholstered in ultra-soft ice gray aire with high-density foam padding and resilient pocket coil springs.",Ice Gray,"Wood, Iron, Pocket Coil Springs, Leather Aire, Foam, LED",Yes,41x37x41,118 lbs,Benjara,power reclining chair,ok
BM349938,Benjara Oversized Modern Corduroy Sofa Chaise Lounge Chair with USB Ports,"Upgrade your living space with this oversized sofa chaise lounge chair by Benjara, featuring built-in USB-A and USB-C ports, convenient cup holders, and plush corduroy upholstery in a dark gray finish.",The durable wood construction ensures long-lasting stability and sustainability. | Dense foam padded seat and back cushions provide plush comfort for relaxation. | Soft corduroy upholstery in a dark gray finish offers skin-loving smoothness and textured interest. | Includes one stainless steel cup holder on each arm to prevent drink spills. | Built-in USB-A and USB-C ports on the left-facing arm allow for convenient device charging.,"Dark Gray, Black","Wood, Plastic, Corduroy, Foam",Yes,65x67x39,207 lbs,Benjara,oversized sofa chaise lounge chair,ok
BM349939,Benjara Oversized Corduroy Sofa Chaise Lounge Chair with USB Ports and Cup Holders,"Upgrade your living space with the Benjara oversized sofa chaise lounge chair, featuring soft light gray corduroy upholstery and a sturdy wood frame. Designed for modern comfort and convenience, this piece includes built-in USB-A and USB-C ports on the left-facing arm, integrated stainless steel cup holders on each arm, dense foam padding, and five matching throw pillows.","Constructed with a sturdy wood frame and supported by low profile blocked plastic legs in a black finish. | Upholstered in soft light gray corduroy fabric that offers skin-loving smoothness and textured visual interest. | Features dense foam padded seat and back cushions to provide plush, comfortable seating. | Equipped with built-in USB-A and USB-C ports on the left-facing arm along with a stainless steel cup holder on each arm. | Includes five matching throw pillows for enhanced style and relaxation.","Light Gray, Black","Wood, Plastic, Corduroy, Foam",Yes,65x67x39,207 lbs,Benjara,Oversized sofa chaise lounge chair,ok
BM349940,Benjara Modern Tall Dresser Chest with Four Drawers,"Update your bedroom with the Benjara tall dresser chest featuring a pristine white finish and sleek silver metal handles. Sustainably crafted with enduring particle board and durable PU paper lamination, this modern contemporary chest includes four smooth gliding drawers for ample storage. Designed with a spacious rectangular surface and a tip-over restraint device for enhanced safety, it provides both style and functionality.",Constructed with enduring particle board featuring durable PU paper lamination in a pristine white finish. | Includes four smooth gliding drawers equipped with striking silver metal handles for easy access. | Features a spacious rectangular surface ideal for both storage and decoration purposes. | Engineered with a tip-over restraint device included for enhanced safety. | Supports a distributed weight of 25 lbs on the top and on each drawer.,"White, Silver","Particle Board, PU Paper Lamination, Metal",Yes,18x32x41,94 lbs,Benjara,tall dresser chest,ok
BM349941,Benjara Modern Tall Dresser Chest with Four Drawers in Light Oak Brown,"Update your bedroom with the Benjara modern tall dresser chest, featuring four smooth gliding drawers and a light oak brown wood grain finish. Crafted with durable particle board and PU paper lamination, this contemporary chest includes sleek black metal handles and a tip-over restraint device for enhanced safety.","Constructed with enduring particle board for long lasting use and features a light oak brown finish with durable PU paper lamination. | Includes four smooth gliding drawers that offer ample space for clothes, linens, and bedtime essentials. | Equipped with sleek metal handles in a trendy black finish for easy access. | Features a tip-over restraint device included for enhanced safety. | The top and each drawer supports twenty-five pounds of distributed weight.","Light Oak Brown, Black","Particle Board, PU Paper Lamination, Metal",Yes,18x32x41,94 lbs,Benjara,tall dresser chest,ok
BM349942,"Benjara Modern Tall Dresser Chest with Four Drawers, White and Black","Update your bedroom with the Benjara modern contemporary tall dresser chest, featuring a pristine white finish and sleek black hardware. Crafted from durable particle board with PU paper lamination, this piece includes four smooth-gliding drawers and a spacious rectangular surface for your storage and display needs. Designed with safety in mind, it comes equipped with a tip-over restraint device.","Includes one tall dresser chest crafted with enduring particle board for long-lasting use. | Features a pristine white finish with durable PU paper lamination for a refined look. | Equipped with four smooth gliding drawers offering ample space for clothes, linens, and bedtime essentials. | Designed with sleek metal handles and round knobs in a trendy black finish for ease of access. | Includes a tip-over restraint device for enhanced safety.","White, Black","Particle Board, PU Paper Lamination, Metal",Yes,"18L x 32W x 42H, in inches",91 lbs,Benjara,tall dresser chest,ok
BM349943,Benjara Modern Tall Dresser Chest with Four Drawers,"Update your bedroom with this modern and contemporary tall dresser chest, featuring a light oak brown finish with durable PU paper lamination. Crafted from enduring particle board and equipped with sleek metal handles and round knobs in a trendy black finish, it offers four smooth gliding drawers for ample storage. A tip-over restraint device is included for enhanced safety.",Crafted with enduring particle board for long-lasting use. | Features a light oak brown wood grain finish with durable PU paper lamination. | Equipped with four smooth gliding drawers offering ample space for clothes and linens. | Includes sleek metal handles and round knobs in a trendy black finish for ease of access. | Comes with a tip-over restraint device for enhanced safety.,"Light Oak Brown, Black","Particle Board, PU Paper Lamination, Metal",Yes,18x32x42,91 lbs,Benjara,tall dresser chest,ok
BM349944,Benjara Modern LED Coffee Table with Mirror Glass Top in White and Gold,"Enhance your living space with this modern and contemporary coffee table from Benjara. Crafted from durable wood with a high-quality mirror glass top, it offers a reflective appeal and a spacious round surface for storage and decoration. The design features vertical reeded details on the base, a gleaming gold finished brim, and a sturdy plinth base. Integrated LED lighting with four color modes provides a customizable, ambient glow.","Crafted using durable wood, ensuring long lasting sustainability. | High quality mirror glass top creates a reflective appeal and an illusion of spaciousness. | Vertical reeded details on the base boast textural interest and rich sophistication. | Gleaming gold finished brim exudes a charming, luxurious flair. | Integrated LED lighting with four color modes offer customizable, ambient glow.","White, Gold","Wood, Mirror Glass, LED",No,39x39x18.5,106 lbs,Benjara,coffee table,ok
BM349945,Benjara 3-Piece Wood and Mirror Glass Coffee Table Set with LED Lighting,"Elevate your living space with this modern 3-piece coffee table set from Benjara, featuring one coffee table and two matching side end tables. Crafted from durable wood with high quality mirror glass tops, the set showcases vertical reeded details and gleaming gold finished brims. Integrated LED lighting with four color modes provides a customizable and ambient glow. Designed with a sturdy plinth base, this contemporary set arrives fully assembled.","The three piece coffee table set includes one coffee table and two side end tables. | Crafted using durable wood, ensuring long lasting sustainability. | High quality mirror glass tops create a reflective appeal and an illusion of spaciousness. | Integrated LED lighting with four color modes offer customizable, ambient glow. | Gleaming gold finished brim exudes a charming, luxurious flair.","White, Gold","Wood, Mirror Glass, LED",No,39x39x18.5,234 lbs,Benjara,coffee table set,ok
BM349946,"Benjara Faux Marble Coffee Table with Storage Drawer, White and Black","Upgrade your living space with this modern contemporary coffee table from Benjara. Featuring a durable MDF frame and a striking faux marble tabletop with natural-looking veins, this piece combines style with everyday functionality. It includes a spacious rectangular surface, a smooth-gliding storage drawer with a bold black handle and embossed wave texture, and a middle shelf forming two open compartments. The crisp white finish paired with a trendy black plinth base creates a sophisticated floating effect while supporting up to 250 lbs of distributed weight.","Constructed from durable and sustainable MDF for long-term use. | Faux marble tabletop features distinctive veins that mimic genuine marble. | Includes one smooth gliding drawer with an embossed wave textured front and a bold black handle. | Middle shelf creates two open compartments for books, magazines, or storage baskets. | Trendy black finished plinth base offers stability while creating a floating effect.","White, Black","MDF, Faux Marble, PU Foil",Yes,"23.5L x 47W x 15.5H, in inches",82 lbs,Benjara,Coffee Table,ok
BM349947,Benjara Modern Sideboard Buffet Console with Faux Marble Top,"Elevate your dining or living space with the Benjara sideboard buffet console, featuring a durable MDF construction in a crisp white finish. The stunning faux marble tabletop offers natural beauty, while the embossed wave-textured double doors reveal convenient interior adjustable shelving. Enhanced by bold black finished linear handles and a trendy black plinth base, this modern piece seamlessly combines storage and style.",Constructed from durable and sustainable MDF for long-term use. | Faux marble tabletop features distinctive veins that mimic genuine marble. | Includes two cabinets with double doors opening to reveal one inner adjustable shelf in each. | Embossed wave-textured door fronts and bold black linear handles add unique aesthetic appeal. | Trendy black finished plinth base offers stability and creates a floating effect.,"White, Black","MDF, Faux Marble, PU Foil",Yes,15x63x25.5,106 lbs,Benjara,sideboard buffet console,ok
BM349948,Benjara Modern Contemporary Coffee Table with Marble Glass Top and Lower Shelf,"Elevate your living space with this modern contemporary coffee table featuring a sturdy white marble glass tabletop with a distinctive 3D printed textured design. Crafted from high quality bentwood, MDF, and solid wood, it includes a spacious rectangular surface and a roomy lower shelf for storage and decoration. The shelf and tabletop are connected by a graceful, curved bentwood design, complemented by a dichromatic storage shelf with a black and light brown wood grain finish. Subtly tapered and flared legs in a bold black finish provide excellent stability, while adjustable leveling feet prevent scratches and abrasions.","Crafted from high quality bentwood, MDF, and solid wood for durability and sustainability. | Sturdy white marble glass tabletop features a distinctive 3D printed textured design for visual interest. | Roomy lower shelf with a dichromatic black and light brown wood grain finish provides extra storage for daily essentials. | Subtly tapered and flared legs in a bold black finish offer excellent stability. | Equipped with adjustable leveling feet to prevent scratches and abrasions on your floors.","White, Light Brown, Black","Bentwood, MDF, Solid Wood, Marble Glass",Yes,23.5x47x17,46 lbs,Benjara,coffee table,ok
BM349949,Benjara Modern Coffee Table with Marble Glass Top and Storage Shelf,"Enhance your living space with this modern and contemporary coffee table from Benjara. Featuring a sturdy black marble glass tabletop with a 3D printed textured design, a spacious rectangular surface, and a roomy lower shelf, it offers both style and function. Crafted from high quality bentwood, MDF, solid wood, and marble glass, it includes a dichromatic black and light brown wood grain finish, subtly tapered and flared legs, and adjustable leveling feet.","Crafted from high quality bentwood, MDF, solid wood, and marble glass for durability and sustainability. | Sturdy black marble glass tabletop features a distinctive 3D printed textured design. | Roomy lower shelf with a dichromatic black and light brown wood grain finish provides extra storage. | Subtly tapered and flared legs in a bold black finish offer excellent stability. | Adjustable leveling feet protect your floors from scratches and abrasions.","Light Brown, Black","Bentwood, MDF, Solid Wood, Marble Glass",Yes,23.5x47x17,46 lbs,Benjara,coffee table,ok
BM349950,Benjara Modern Contemporary Rectangular Coffee Table with Gray Marble Glass Top,"Enhance your living space with this modern contemporary coffee table featuring a distinctive 3D printed textured gray marble glass tabletop and a spacious rectangular surface. Crafted from high quality bentwood, MDF, and solid wood, it includes a roomy lower shelf with a dichromatic black and light brown wood grain finish. The shelf and tabletop are connected by a graceful curved bentwood design, supported by subtly tapered and flared legs in a bold black finish with adjustable leveling feet.","Crafted from high quality bentwood, MDF, and solid wood for durability and sustainability. | Sturdy gray marble glass tabletop features a distinctive 3D printed textured design for visual interest. | Spacious rectangular surface and roomy lower shelf provide ample space for storage and decoration. | Dichromatic lower shelf showcases a trendy black and light brown wood grain finish. | Subtly tapered and flared black legs include adjustable leveling feet to prevent scratches and abrasions.","Gray, Light Brown, Black","Bentwood, MDF, Solid Wood, Marble Glass",Yes,23.5x47x17,46 lbs,Benjara,coffee table,ok
BM349951,Benjara Gray Walnut and Gold Media Cabinet TV Stand with Electric Fireplace,"Upgrade your living space with the Benjara TV stand media cabinet, featuring a built-in electric fireplace and heater for ultimate comfort. Constructed from quality MDF, particle board, and metal, this modern transitional piece showcases a gray walnut finish with natural grain details. It offers versatile storage with two single-door cabinets and two top open shelves highlighted by ambient LED lighting. Designed for convenience, it includes wire management cutouts, an adjustable heater, and customizable flame colors.",Constructed from quality MDF and particle board for durability and long term use. | Features an integrated electric fireplace heater with 11 temperature settings and seven flame color options. | Includes two single-door cabinets with gold metal knobs and interior shelves for discreet storage. | Equipped with two top open shelves featuring ambient LED lighting for added elegance. | Includes cutout holes on the back panel for hassle-free wire management.,"Gray Walnut, Gold","MDF, Particle Board, Metal, LED",Yes,16x70x33,154 lbs,Benjara,TV stand media cabinet,ok
BM349952,Benjara Gray Walnut TV Stand Media Cabinet with Electric Fireplace,"Enhance your living space with this modern transitional TV stand media cabinet featuring an integrated electric fireplace heater, ambient LED lighting, and ample storage.","Constructed from quality MDF and particle board with a gray walnut finish and natural grain details. | Features two cabinets with wood-paneled single glass doors, sleek silver metal handles, and one interior shelf each. | Includes an integrated electric fireplace heater with 11 temperature settings and seven flame color options. | Equipped with ambient LED lighting inside each cabinet and a convenient built-in timer function. | Includes cutout holes on the back panel for hassle-free wire management.","Gray Walnut, Silver","MDF, Particle Board, Metal, Glass, LED",Yes,16x70x25,116 lbs,Benjara,TV stand media cabinet,ok
BM349953,Benjara Gray Walnut Modern Fireplace TV Stand Media Cabinet,"Elevate your living space with this modern transitional TV stand media cabinet, featuring a built-in electric fireplace and heater with eight flame color options. Constructed from quality MDF, particle board, metal, glass, and LED, this cabinet showcases a gray walnut finish with natural grain details. It includes two cabinets with wood-paneled double glass doors, round gold metal knobs, and adjustable interior shelves, alongside a spacious open center shelf. Ambient LED lighting with multiple color settings and rear cutout holes for wire management complete this functional piece.","Constructed with quality MDF, particle board, metal, and glass for durability and long term use. | Features a realistic electric fireplace and heater with eight flame color options for warmth and visual appeal. | Includes two cabinets with wood-paneled double glass doors, round gold metal knobs, and one adjustable interior shelf inside each. | Equipped with ambient LED lighting inside each cabinet that offers multiple color settings for added elegance. | Designed with a spacious open center shelf and cutout holes on the back panel for hassle free wire management.","Gray Walnut, Gold","MDF, Particle Board, Metal, Glass, LED",Yes,16x70x33,110 lbs,Benjara,TV stand media cabinet,ok
BM349954,Benjara White Walnut and Gold TV Stand Media Cabinet with Electric Fireplace,"Upgrade your living space with the Benjara TV Stand Media Cabinet, featuring a built-in electric fireplace and heater for ultimate comfort. Crafted from quality MDF, particle board, metal, glass, and LED, this modern transitional media console showcases a striking white walnut finish with natural grain details and elegant gold metal hardware. It offers ample storage with two wood-paneled double glass doors revealing adjustable interior shelves, a spacious open center shelf, and convenient cutout holes for wire management.","Constructed from quality MDF, particle board, metal, and glass for long-term durability. | Features an integrated electric fireplace and heater with eight flame color options for warmth and visual appeal. | Includes two cabinets with wood-paneled double glass doors, round gold metal knobs, and adjustable interior shelves. | Equipped with ambient LED lighting inside each cabinet that includes multiple color settings. | Provides a spacious open center shelf and back panel cutout holes for easy wire management.","White Walnut, Gold","MDF, Particle Board, Metal, Glass, LED",Yes,16x70x33,110 lbs,Benjara,TV stand media cabinet,ok
BM349955,Benjara Gray Walnut Modern Transitional TV Stand Media Cabinet with Integrated Fireplace,"Upgrade your living space with this modern transitional TV stand media cabinet, featuring a durable MDF and particle board construction in a gray walnut finish with natural grain details. It includes an integrated electric fireplace heater with multiple flame color options, a spacious single door cabinet on each side with gold metal knobs, and three open center shelves for your media essentials. The side shelves are enhanced with ambient LED lighting offering multiple color settings, while convenient cutout holes on the back panel ensure hassle-free wire management.","Constructed from quality MDF and particle board for durability and long term use. | Features an integrated electric fireplace heater with multiple flame color options for warmth and visual appeal. | Includes a spacious single door cabinet on both sides with round, gold metal knobs and three open shelves in the center. | Side shelves showcase ambient LED lighting with multiple color settings for added elegance. | Equipped with cutout holes on the back panel for hassle-free wire management.","Gray Walnut, Gold","MDF, Particle Board, Metal, LED",Yes,16x70x33,135 lbs,Benjara,TV stand media cabinet,ok
BM349956,Benjara White Walnut and Gold TV Stand Media Cabinet with Electric Fireplace,"Upgrade your living space with the Benjara TV Stand Media Cabinet, featuring an integrated electric fireplace heater for added warmth and ambiance. Constructed from quality MDF and particle board with a striking white walnut finish and gold metal accents, this media console blends modern transitional style with practical storage. It includes two single-door cabinets, three center open shelves, ambient LED lighting, and convenient wire management cutouts.",Features an integrated electric fireplace heater equipped with multiple flame color options for visual appeal and warmth. | Constructed from quality MDF and particle board with a white walnut finish and natural grain details. | Equipped with spacious single-door cabinets on both sides featuring round gold metal knobs for hidden storage. | Includes three open shelves in the center and side shelves accented with ambient LED lighting in multiple color settings. | Includes convenient cutout holes on the back panel for hassle-free wire management.,"White Walnut, Gold","MDF, Particle Board, Metal, LED",Yes,16x70x33,135 lbs,Benjara,TV stand media cabinet,ok
BM349957,Benjara Black Wood TV Stand Media Cabinet with Fireplace and Bluetooth Speaker,"Enhance your living space with the Benjara TV stand media cabinet, featuring a durable and sustainable wood construction in a glossy mirror-finished bold black tone. This modern and transitional piece accommodates large flat-screen TVs on its wide rectangular profile and includes an integrated electric fireplace with multiple flame color options for warmth and coziness. Enjoy high-quality wireless audio streaming via the built-in Bluetooth speaker, while the cutout holes on the back panel provide hassle-free wire management. The cabinet requires minimal assembly for the process of arranging the crystals.",Constructed from durable and sustainable wood to ensure long-term use. | Wide rectangular profile is designed to accommodate large flat-screen TVs. | Integrated electric fireplace offers warmth and coziness with multiple flame color options. | Built-in Bluetooth speaker delivers wireless audio streaming with high-quality sound. | Cutout holes on the back panel allow for hassle-free wire management.,Black,Wood,Yes,16x71x25,150 lbs,Benjara,TV stand media cabinet,ok
BM349958,Benjara Modern Black Wood TV Stand Media Cabinet with Fireplace and Bluetooth Speaker,"Enhance your living space with the Benjara TV stand media cabinet, featuring a durable wood construction with a rich black finish and a high gloss lacquer finished top. This contemporary media console includes an integrated electric fireplace with seven flame color options and a built-in Bluetooth speaker for wireless audio streaming. Enjoy convenient storage with four smooth gliding, handless drawers and keep your cables organized thanks to the back panel cutout holes.",Includes an integrated electric fireplace with seven flame color options for added warmth and visual appeal. | Built-in Bluetooth speaker delivers wireless audio streaming with high quality sound. | Features four smooth gliding drawers with a handless design for convenient media accessory storage. | Durable and sustainable wood construction ensures long term use with a rich black finish. | Cutout holes on the back panel provide hassle free wire management.,Black,Wood,No,16x71x26,172 lbs,Benjara,TV stand media cabinet,ok
